Teste, Duration (ms), Start Time (s), End Time (s), % Capacity, % Last Charge Capacity, Capacity Drain (mWh), Capacity (mWh)
1, 186829.909200, 18.248808800, 205.078718000, 87.302, 100.000, 1505, 36742
2, 206520.678000, 29.523359600, 236.044037600, 79.444, 90.999, 1128, 33557
3, 186623.954400, 32.550328500, 219.174282900, 74.206, 85.000, 752, 31507
4, 282423.284100, 30.799761600, 313.223045700, 70.714, 80.999, 752, 30002
5, 226950.511500, 12.015842800, 238.966354300, 64.604, 74.001, 1505, 27024
6, 179184.850700, 28.494145100, 207.678995800, 58.491, 66.999, 752, 24735
7, 193124.850400, 8.324689000, 201.449539400, 48.888, 55.999, 1128, 20390
8, 167940.266600, 29.757160400, 197.697427000, 42.778, 49.001, 753, 17964
9, 197847.788300, 9.439061000, 207.286849300, 37.541, 43.001, 753, 15706
10, 254191.012700, 37.574007800, 291.765020500, 27.936, 31.999, 1504, 10994
