Teste,Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],Battery Power* [uW],Time  [ms],CPU6 Frequency [kHz],Time  [ms],Battery Remaining (%) [%],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
1,0,806400,1,806400,2,806400,2,806400,2,2054400,2,0,2,2054400,2,95,3,2054400,3,2515200
1,101,1804800,101,1804800,101,1804800,101,1804800,102,2400000,102,501286,102,2400000,92,95,102,2400000,102,1766400
1,202,1804800,202,1804800,203,1804800,204,1804800,205,2400000,205,0,206,2400000,102,95,207,2400000,212,2515200
1,304,1804800,305,1804800,305,1804800,306,1804800,306,2400000,307,0,307,2400000,206,95,307,2400000,308,2515200
1,407,1804800,408,1804800,409,1804800,410,1804800,411,2400000,412,0,412,2400000,307,95,412,2400000,413,2515200
1,509,1804800,518,1804800,520,1804800,521,1804800,523,2400000,524,1314431,524,2400000,412,95,525,2400000,525,2515200
1,610,1804800,610,1804800,612,1804800,613,1804800,613,2400000,614,1314431,614,2400000,525,95,614,2400000,615,2515200
1,761,1804800,762,1804800,763,1804800,764,1804800,764,2400000,764,1314431,765,2400000,614,95,765,2400000,766,2515200
1,861,1804800,863,1804800,866,1804800,868,1804800,871,2400000,873,1314431,873,2400000,765,95,874,2400000,876,2515200
1,962,1804800,964,1804800,965,1804800,966,1804800,967,2400000,968,1102176,972,2400000,874,95,973,2400000,973,2515200
1,1062,1804800,1062,1804800,1063,1804800,1063,1804800,1063,1651200,1064,779244,1064,1651200,973,95,1064,1651200,1065,2515200
1,1162,1804800,1163,1804800,1163,1804800,1163,1804800,1164,1651200,1164,1314431,1164,1651200,1064,95,1165,1651200,1165,2515200
1,1262,1804800,1263,1804800,1264,1804800,1264,1804800,1264,1651200,1265,1314431,1265,1651200,1164,95,1265,1651200,1266,2515200
1,1363,1804800,1363,1804800,1364,1804800,1364,1804800,1364,1651200,1365,1314431,1365,1651200,1265,95,1365,1651200,1366,2515200
