Teste,Line #,New Process,New Thread Id,New Thread Stack,Ready Thread Stack,Readying Process,Readying Thread Id,Count,CPU Usage (in view) (ms) (sum),Ready (us) (sum),Waits (us) (sum),Ready (us) (max),Waits (us) (max),Count Waits (us) (sum),Switch-In Time (s),New In Pri,CPU,Ideal Cpu,% CPU Usage (sum)
1,1,RecRoom.exe (12364),,,,,,1365196,435087.307000,258056351.000,11459433780.400,2040914.000,175137902.000,704360,,,,,58.17
2,1,RecRoom.exe (12364),,,,,,1394689,378279.720500,372362922.900,10824580875.700,5069339.100,172071008.800,757237,,,,,51.54
3,2,RecRoom.exe (12364),,,,,,929807,214785.533200,85799363.700,10823647947.500,735739.900,174023846.400,654224,,,,,28.71
4,2,RecRoom.exe (12364),,,,,,884433,156459.070400,41493326.800,9910608738.200,107252.900,171007993.900,710910,,,,,21.69
5,1,RecRoom.exe (732),,,,,,1976273,412381.946700,320059795.400,9702035376.900,3022596.900,146056868.000,1044166,,,,,67.30
6,194,RecRoom.exe (732),,,,,,1342198,427661.764900,276169016.700,8902251488.900,2156962.600,173448462.300,679793,,,,,58.42
7,1,RecRoom.exe (13036),,,,,,2007321,405265.186000,376407828.400,7097065484.200,2413663.900,155975657.200,1116925,,,,,62.86
8,1,RecRoom.exe (13036),,,,,,1301466,287398.104200,161974528.900,12333123353400,652859.900,116776873.000,814303,,,,,40.03
9,2,RecRoom.exe (13036),,,,,,1187365,236050.956100,83481041.800,11495418844.200,572510.200,73579644.100,854969,,,,,32.19
10,1,RecRoom.exe (6740),,,,,,1895225,422091.096800,740100175.100,6435743564.200,5840880.600,146732668.700,1033216,,,,,67.45
