"No.","Time","Source","Destination","Protocol","Length","Info","frame.time","frame.time_delta"
"1","0.000000","192.168.137.185","192.168.137.1","DNS","72","Standard query 0xc3af A econ.rec.net","Jul  6, 2023 09:00:36.190307000 Hora oficial do Brasil","0.000000000"
"2","0.336428","192.168.137.185","157.240.216.63","UDP","72","39163  >  443 Len=30","Jul  6, 2023 09:00:36.526735000 Hora oficial do Brasil","0.336428000"
"3","0.554747","192.168.137.1","192.168.137.185","DNS","213","Standard query response 0xbdd0 A sdk-api-v1.singular.net CNAME sdk-gate.singular.net CNAME prod-sdk.singular.net.edgesuite.net CNAME a1988.b.akamai.net A 177.37.221.25 A 177.37.221.8","Jul  6, 2023 09:00:36.745054000 Hora oficial do Brasil","0.218319000"
"4","0.654537","192.168.137.185","177.37.221.25","TCP","74","48584  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1269037617 TSecr=0 WS=512","Jul  6, 2023 09:00:36.844844000 Hora oficial do Brasil","0.099790000"
"5","1.009773","52.151.239.148","192.168.137.185","TCP","66","443  >  44312 [ACK] Seq=1 Ack=1 Win=64 Len=0 TSval=184486274 TSecr=492971399","Jul  6, 2023 09:00:37.200080000 Hora oficial do Brasil","0.355236000"
"6","1.059117","52.151.239.148","192.168.137.185","TCP","66","443  >  43724 [ACK] Seq=1 Ack=1 Win=64 Len=0 TSval=1471436597 TSecr=492971400","Jul  6, 2023 09:00:37.249424000 Hora oficial do Brasil","0.049344000"
"7","1.060993","192.168.137.185","52.151.239.148","TCP","54","44312  >  443 [RST] Seq=1 Win=0 Len=0","Jul  6, 2023 09:00:37.251300000 Hora oficial do Brasil","0.001876000"
"8","1.060993","192.168.137.185","52.151.239.148","TCP","54","43724  >  443 [RST] Seq=1 Win=0 Len=0","Jul  6, 2023 09:00:37.251300000 Hora oficial do Brasil","0.000000000"
"9","1.690864","192.168.137.185","177.37.221.25","TCP","74","[TCP Retransmission] 48584  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1269038635 TSecr=0 WS=512","Jul  6, 2023 09:00:37.881171000 Hora oficial do Brasil","0.629871000"
"12","2.219770","157.240.216.63","192.168.137.185","UDP","90","443  >  39163 Len=48","Jul  6, 2023 09:00:38.410077000 Hora oficial do Brasil","0.479001000"
"13","2.529778","177.37.221.25","192.168.137.185","TCP","74","443  >  48584 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3184566031 TSecr=1269037617 WS=128","Jul  6, 2023 09:00:38.720085000 Hora oficial do Brasil","0.310008000"
"14","2.596845","192.168.137.185","177.37.221.25","TCP","66","48584  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1269039560 TSecr=3184566031","Jul  6, 2023 09:00:38.787152000 Hora oficial do Brasil","0.067067000"
"15","2.607019","192.168.137.185","177.37.221.25","TLSv1.3","657","Client Hello","Jul  6, 2023 09:00:38.797326000 Hora oficial do Brasil","0.010174000"
"16","3.513791","177.37.221.25","192.168.137.185","TCP","74","[TCP Retransmission] 443  >  48584 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3184567008 TSecr=1269037617 WS=128","Jul  6, 2023 09:00:39.704098000 Hora oficial do Brasil","0.906772000"
"17","3.621139","192.168.137.185","177.37.221.25","TCP","66","[TCP Dup ACK 14#1] 48584  >  443 [ACK] Seq=592 Ack=1 Win=65536 Len=0 TSval=1269040584 TSecr=3184566031","Jul  6, 2023 09:00:39.811446000 Hora oficial do Brasil","0.107348000"
"18","3.898794","64.233.186.188","192.168.137.185","TLSv1.2","1466","Application Data","Jul  6, 2023 09:00:40.089101000 Hora oficial do Brasil","0.277655000"
"19","3.967805","192.168.137.185","64.233.186.188","TCP","66","38754  >  5228 [ACK] Seq=1 Ack=1401 Win=364 Len=0 TSval=1890659169 TSecr=1748177593","Jul  6, 2023 09:00:40.158112000 Hora oficial do Brasil","0.069011000"
"20","4.533863","177.37.221.25","192.168.137.185","TLSv1.3","336","Server Hello, Change Cipher Spec, Application Data, Application Data","Jul  6, 2023 09:00:40.724170000 Hora oficial do Brasil","0.566058000"
"21","4.642051","64.233.186.188","192.168.137.185","TLSv1.2","342","Application Data","Jul  6, 2023 09:00:40.832358000 Hora oficial do Brasil","0.108188000"
"22","4.644140","192.168.137.185","177.37.221.25","TCP","66","48584  >  443 [ACK] Seq=592 Ack=271 Win=67072 Len=0 TSval=1269041607 TSecr=3184568033","Jul  6, 2023 09:00:40.834447000 Hora oficial do Brasil","0.002089000"
"23","4.644140","192.168.137.185","64.233.186.188","TCP","66","38754  >  5228 [ACK] Seq=1 Ack=1677 Win=369 Len=0 TSval=1890659845 TSecr=1748178354","Jul  6, 2023 09:00:40.834447000 Hora oficial do Brasil","0.000000000"
"24","4.648564","192.168.137.185","177.37.221.25","TLSv1.3","146","Change Cipher Spec, Application Data","Jul  6, 2023 09:00:40.838871000 Hora oficial do Brasil","0.004424000"
"29","4.998924","192.168.137.185","192.168.137.1","DNS","72","Standard query 0xc3af A econ.rec.net","Jul  6, 2023 09:00:41.189231000 Hora oficial do Brasil","0.162067000"
"30","6.476325","177.37.221.25","192.168.137.185","TCP","66","443  >  48584 [ACK] Seq=271 Ack=672 Win=64640 Len=0 TSval=3184569969 TSecr=1269041612","Jul  6, 2023 09:00:42.666632000 Hora oficial do Brasil","1.477401000"
"31","6.586122","177.37.221.25","192.168.137.185","TLSv1.3","353","Application Data","Jul  6, 2023 09:00:42.776429000 Hora oficial do Brasil","0.109797000"
"32","6.586616","64.233.186.188","192.168.137.185","TLSv1.2","1466","Application Data","Jul  6, 2023 09:00:42.776923000 Hora oficial do Brasil","0.000494000"
"33","6.587130","64.233.186.188","192.168.137.185","TLSv1.2","348","Application Data","Jul  6, 2023 09:00:42.777437000 Hora oficial do Brasil","0.000514000"
"34","6.589787","192.168.137.185","177.37.221.25","TLSv1.3","1061","Application Data","Jul  6, 2023 09:00:42.780094000 Hora oficial do Brasil","0.002657000"
"35","6.589787","192.168.137.185","177.37.221.25","TCP","66","48584  >  443 [ACK] Seq=1667 Ack=558 Win=68096 Len=0 TSval=1269043551 TSecr=3184569973","Jul  6, 2023 09:00:42.780094000 Hora oficial do Brasil","0.000000000"
"36","6.589787","192.168.137.185","64.233.186.188","TCP","66","38754  >  5228 [ACK] Seq=1 Ack=3077 Win=375 Len=0 TSval=1890661790 TSecr=1748180241","Jul  6, 2023 09:00:42.780094000 Hora oficial do Brasil","0.000000000"
"37","6.589787","192.168.137.185","64.233.186.188","TCP","66","38754  >  5228 [ACK] Seq=1 Ack=3359 Win=380 Len=0 TSval=1890661791 TSecr=1748180243","Jul  6, 2023 09:00:42.780094000 Hora oficial do Brasil","0.000000000"
"38","6.607693","192.168.137.185","64.233.186.188","TLSv1.2","104","Application Data","Jul  6, 2023 09:00:42.798000000 Hora oficial do Brasil","0.017906000"
"39","6.826260","192.168.137.1","192.168.137.185","DNS","146","Standard query response 0xc3af A econ.rec.net CNAME recnet-ag-prod-002.eastus.cloudapp.azure.com A 52.151.239.148","Jul  6, 2023 09:00:43.016567000 Hora oficial do Brasil","0.218567000"
"40","6.999376","192.168.137.185","52.151.239.148","TCP","74","43756  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=492979407 TSecr=0 WS=512","Jul  6, 2023 09:00:43.189683000 Hora oficial do Brasil","0.173116000"
"41","7.834939","192.168.137.185","64.233.186.188","TCP","104","[TCP Retransmission] 38754  >  5228 [PSH, ACK] Seq=1 Ack=3359 Win=380 Len=38 TSval=1890663017 TSecr=1748180243","Jul  6, 2023 09:00:44.025246000 Hora oficial do Brasil","0.835563000"
"42","7.993780","3.33.221.48","192.168.137.185","TCP","340","80  >  37416 [PSH, ACK] Seq=1 Ack=1 Win=277 Len=274 TSval=627169205 TSecr=4022105724","Jul  6, 2023 09:00:44.184087000 Hora oficial do Brasil","0.158841000"
"43","8.026741","192.168.137.185","52.151.239.148","TCP","74","[TCP Retransmission] 43756  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=492980416 TSecr=0 WS=512","Jul  6, 2023 09:00:44.217048000 Hora oficial do Brasil","0.032961000"
"44","8.028765","192.168.137.185","3.33.221.48","TCP","66","37416  >  80 [ACK] Seq=1 Ack=275 Win=152 Len=0 TSval=4022175325 TSecr=627169205","Jul  6, 2023 09:00:44.219072000 Hora oficial do Brasil","0.002024000"
"45","8.146019","192.168.137.185","3.33.221.48","TCP","68","37416  >  80 [PSH, ACK] Seq=1 Ack=275 Win=152 Len=2 TSval=4022175420 TSecr=627169205 [TCP segment of a reassembled PDU]","Jul  6, 2023 09:00:44.336326000 Hora oficial do Brasil","0.117254000"
"46","8.374596","192.168.137.185","3.33.221.48","TCP","144","37416  >  80 [PSH, ACK] Seq=3 Ack=275 Win=152 Len=78 TSval=4022175652 TSecr=627169205","Jul  6, 2023 09:00:44.564903000 Hora oficial do Brasil","0.228577000"
"47","8.436261","177.37.221.25","192.168.137.185","TCP","66","443  >  48584 [ACK] Seq=558 Ack=1667 Win=64128 Len=0 TSval=3184571927 TSecr=1269043551","Jul  6, 2023 09:00:44.626568000 Hora oficial do Brasil","0.061665000"
"48","8.568771","64.233.186.188","192.168.137.185","TCP","66","5228  >  38754 [ACK] Seq=3359 Ack=39 Win=266 Len=0 TSval=1748182259 TSecr=1890661809","Jul  6, 2023 09:00:44.759078000 Hora oficial do Brasil","0.132510000"
