"No.","Time","Source","Destination","Protocol","Length","Info","frame.time","frame.time_delta"
"1","0.000000","91.199.81.31","192.168.10.105","UDP","313","5056  >  63082 Len=271","Jul  5, 2023 21:37:18.678348000 Hora oficial do Brasil","0.000000000"
"2","0.052107","91.199.81.31","192.168.10.105","UDP","317","5056  >  63082 Len=275","Jul  5, 2023 21:37:18.730455000 Hora oficial do Brasil","0.052107000"
"3","0.066231","20.120.122.254","192.168.10.105","TLSv1.2","938","Application Data","Jul  5, 2023 21:37:18.744579000 Hora oficial do Brasil","0.014124000"
"4","0.112307","91.199.81.31","192.168.10.105","UDP","373","5056  >  63082 Len=331","Jul  5, 2023 21:37:18.790655000 Hora oficial do Brasil","0.046076000"
"5","0.165065","34.138.119.63","192.168.10.105","UDP","74","7521  >  63083 Len=32","Jul  5, 2023 21:37:18.843413000 Hora oficial do Brasil","0.052758000"
"6","0.191145","91.199.81.31","192.168.10.105","UDP","317","5056  >  63082 Len=275","Jul  5, 2023 21:37:18.869493000 Hora oficial do Brasil","0.026080000"
"7","0.253507","91.199.81.31","192.168.10.105","UDP","317","5056  >  63082 Len=275","Jul  5, 2023 21:37:18.931855000 Hora oficial do Brasil","0.062362000"
"8","0.303874","34.138.119.63","192.168.10.105","UDP","74","7521  >  63083 Len=32","Jul  5, 2023 21:37:18.982222000 Hora oficial do Brasil","0.050367000"
"9","0.329890","91.199.81.31","192.168.10.105","UDP","317","5056  >  63082 Len=275","Jul  5, 2023 21:37:19.008238000 Hora oficial do Brasil","0.026016000"
"10","0.338114","192.168.10.105","91.199.81.31","UDP","609","63082  >  5056 Len=567","Jul  5, 2023 21:37:19.016462000 Hora oficial do Brasil","0.008224000"
"11","0.345191","192.168.10.105","155.133.227.50","TLSv1.2","113","Application Data","Jul  5, 2023 21:37:19.023539000 Hora oficial do Brasil","0.007077000"
"12","0.350420","192.168.10.105","20.120.122.254","TCP","1454","[TCP Spurious Retransmission] 58245  >  443 [ACK] Seq=4294962273 Ack=1 Win=510 Len=1400","Jul  5, 2023 21:37:19.028768000 Hora oficial do Brasil","0.005229000"
"13","0.354792","192.168.10.105","91.199.81.31","UDP","74","63082  >  5056 Len=32","Jul  5, 2023 21:37:19.033140000 Hora oficial do Brasil","0.004372000"
"14","0.358902","192.168.10.105","91.199.81.31","UDP","594","63082  >  5056 Len=552","Jul  5, 2023 21:37:19.037250000 Hora oficial do Brasil","0.004110000"
"15","0.359600","192.168.10.105","91.199.81.31","UDP","588","63082  >  5056 Len=546","Jul  5, 2023 21:37:19.037948000 Hora oficial do Brasil","0.000698000"
"16","0.360994","192.168.10.105","91.199.81.31","UDP","937","63082  >  5056 Len=895","Jul  5, 2023 21:37:19.039342000 Hora oficial do Brasil","0.001394000"
"17","0.395700","192.168.10.105","91.199.81.31","UDP","314","63082  >  5056 Len=272","Jul  5, 2023 21:37:19.074048000 Hora oficial do Brasil","0.034706000"
"18","0.407426","91.199.81.31","192.168.10.105","UDP","351","5056  >  63082 Len=309","Jul  5, 2023 21:37:19.085774000 Hora oficial do Brasil","0.011726000"
