App,Package,Start Time,Duration,Filename
"Rec Room",com.AgainstGravity.RecRoom,"jul. 6, 2023 @ 09:16:52 AM","4 min 0 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU5 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU6 Load [%]",Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,806400,0,0,1,806400,1,0,1,806400,1,0,1,806400,1,0,2,2400000,2,0,2,73023,2,2400000,2,0,2,81,2,0,2,2400000,2,0,3,2515200,3,0,3,315000,3,9,
102,1804800,104,0,105,1804800,106,0,107,1804800,107,0,108,1804800,109,0,110,2400000,110,0,110,214836,110,2400000,110,0,89,81,89,0,110,2400000,111,0,111,2515200,111,0,111,608000,111,0,
253,1804800,254,0,254,1804800,255,0,255,1804800,255,0,255,1804800,255,0,255,2400000,256,0,256,0,256,2400000,256,0,110,81,110,0,256,2400000,256,0,256,2515200,257,0,257,608000,257,0,
363,1804800,365,0,369,1804800,374,0,375,1804800,383,0,384,1804800,385,0,386,2400000,392,0,392,0,392,2400000,393,0,256,81,256,0,396,2400000,400,0,400,2515200,401,0,401,608000,402,0,
412,1804800,413,0,413,1804800,413,0,413,1804800,414,0,414,1804800,414,0,414,2400000,414,0,414,0,414,2400000,415,0,393,81,393,0,415,2400000,415,0,415,2515200,415,0,415,608000,415,13,
512,1804800,512,0,513,1804800,513,0,513,1804800,513,0,513,1804800,514,0,514,2400000,514,0,514,949311,514,2400000,514,0,415,81,415,0,515,2400000,515,0,515,2515200,515,0,516,608000,516,13,
612,1804800,613,0,613,1804800,614,0,614,1804800,614,0,614,1804800,614,0,615,2400000,615,0,615,949311,615,2400000,615,0,514,81,514,0,616,2400000,616,0,616,2515200,616,0,617,608000,617,13,
713,1804800,713,0,713,1804800,714,0,714,1804800,714,0,714,1804800,719,0,720,2400000,724,0,724,949311,728,2400000,731,0,615,81,615,0,732,2400000,733,0,734,2515200,735,0,737,608000,738,13,
813,1804800,814,0,814,1804800,815,0,816,1804800,816,0,817,1804800,818,0,818,2400000,819,0,819,949311,819,2400000,819,0,731,81,731,0,819,2400000,819,0,820,2515200,820,0,820,608000,820,13,
916,1804800,917,0,917,1804800,917,0,917,1804800,917,0,918,1804800,918,0,919,2400000,919,0,920,949311,920,2400000,920,0,819,81,819,0,920,2400000,920,0,920,2515200,921,0,921,608000,921,13,
1017,1804800,1017,0,1017,1804800,1018,0,1018,1804800,1018,0,1019,1804800,1020,0,1021,2400000,1021,0,1022,949311,1022,2400000,1023,0,920,81,920,0,1023,2400000,1023,0,1024,2515200,1024,0,1024,608000,1025,13,
1118,1804800,1118,0,1118,1804800,1119,0,1119,1804800,1119,0,1119,1804800,1120,0,1120,1900800,1120,0,1120,949311,1120,2054400,1121,0,1023,81,1023,0,1121,2054400,1121,0,1121,1862400,1122,0,1122,608000,1123,13,
1218,1804800,1219,0,1219,1804800,1219,0,1219,1804800,1220,0,1220,1804800,1220,0,1220,1900800,1220,0,1220,949311,1221,1900800,1221,0,1121,81,1121,0,1221,1900800,1221,0,1221,1766400,1221,0,1222,608000,1222,13,
1318,1804800,1319,0,1319,1804800,1320,0,1320,1804800,1320,0,1321,1804800,1321,0,1321,1900800,1321,0,1321,949311,1322,1900800,1322,0,1221,81,1221,0,1322,1900800,1322,0,1322,2035200,1323,0,1323,608000,1323,13,
1419,1804800,1419,0,1419,1804800,1419,0,1419,1804800,1420,0,1420,1804800,1420,0,1420,2400000,1420,0,1420,949311,1421,2400000,1421,0,1322,81,1322,0,1421,2400000,1421,0,1421,2515200,1421,0,1422,608000,1422,10,
1519,1804800,1519,0,1519,1804800,1520,0,1520,1804800,1520,0,1520,1804800,1520,0,1520,2400000,1520,0,1520,730239,1520,2400000,1521,0,1421,81,1421,0,1521,2400000,1521,0,1521,2515200,1521,0,1521,608000,1521,10,
1619,1804800,1620,0,1620,1804800,1620,0,1620,1804800,1620,0,1620,1804800,1621,0,1621,2400000,1621,0,1621,730239,1621,2400000,1622,0,1521,81,1521,0,1622,2400000,1622,0,1622,2035200,1622,0,1622,608000,1622,10,
1719,1804800,1720,0,1720,1804800,1720,0,1720,1804800,1720,0,1720,1804800,1720,0,1720,2400000,1721,0,1721,730239,1721,2400000,1721,0,1622,81,1622,0,1721,2400000,1721,0,1721,1766400,1721,0,1721,608000,1722,10,
1820,1804800,1820,0,1820,1804800,1820,0,1820,1804800,1821,0,1821,1804800,1821,0,1821,1651200,1821,0,1821,730239,1821,1651200,1822,0,1721,81,1721,0,1822,1651200,1822,0,1822,1766400,1822,0,1822,608000,1823,10,
1920,1804800,1921,0,1921,1804800,1921,0,1921,1804800,1921,0,1921,1804800,1922,0,1922,1651200,1922,0,1922,730239,1922,1651200,1922,0,1822,81,1822,0,1922,1651200,1923,0,1923,1766400,1923,0,1923,608000,1924,10,
2020,1804800,2021,0,2021,1804800,2021,0,2021,1804800,2021,0,2022,1804800,2022,0,2022,1651200,2022,0,2022,730239,2022,1651200,2023,0,1922,81,1922,0,2023,1651200,2023,0,2023,1766400,2023,0,2024,608000,2024,10,
2121,1804800,2121,0,2121,1804800,2122,0,2122,1804800,2123,0,2123,1804800,2124,0,2124,1651200,2124,0,2124,730239,2124,1651200,2124,0,2023,81,2023,0,2125,1651200,2125,0,2125,1766400,2125,0,2125,608000,2125,10,
2221,1804800,2221,0,2222,1804800,2222,0,2222,1804800,2222,0,2222,1804800,2223,0,2223,1651200,2223,0,2223,730239,2223,1651200,2224,0,2124,81,2124,0,2224,1651200,2224,0,2224,1766400,2224,0,2224,608000,2225,10,
2321,1804800,2321,0,2322,1804800,2322,0,2322,1804800,2322,0,2322,1804800,2323,0,2323,1651200,2323,0,2323,730239,2323,1651200,2324,0,2224,81,2224,0,2324,1651200,2324,0,2324,2035200,2325,0,2325,608000,2325,10,
2421,1804800,2422,0,2422,1804800,2422,0,2422,1804800,2423,0,2423,1804800,2423,0,2423,1651200,2424,0,2424,730239,2424,1651200,2424,0,2324,81,2324,0,2424,1651200,2425,0,2425,1766400,2425,0,2425,608000,2425,9,
2522,1804800,2522,0,2523,1804800,2523,0,2523,1804800,2523,0,2523,1804800,2524,0,2524,1651200,2524,0,2524,657215,2524,1651200,2524,0,2424,81,2424,0,2525,1651200,2525,0,2525,1766400,2525,0,2525,608000,2526,9,
2623,1804800,2623,0,2623,1804800,2624,0,2624,1804800,2624,0,2624,1804800,2624,0,2624,1651200,2625,0,2625,657215,2625,1651200,2625,0,2524,81,2524,0,2625,1651200,2625,0,2625,1766400,2626,0,2626,608000,2626,9,
2723,1804800,2723,0,2724,1804800,2724,0,2724,1804800,2724,0,2725,1804800,2725,0,2725,1651200,2725,0,2725,657215,2725,1651200,2726,0,2625,81,2625,0,2726,1651200,2726,0,2726,1766400,2726,0,2726,608000,2727,9,
2823,1804800,2824,0,2824,1804800,2824,0,2824,1804800,2825,0,2825,1804800,2825,0,2825,1651200,2825,0,2825,657215,2826,1651200,2826,0,2726,81,2726,0,2826,1651200,2826,0,2827,1766400,2827,0,2827,608000,2827,9,
2924,1804800,2924,0,2924,1804800,2925,0,2925,1804800,2925,0,2925,1804800,2925,0,2925,1651200,2926,0,2926,657215,2926,1651200,2926,0,2826,81,2826,0,2926,1651200,2927,0,2927,1766400,2927,0,2927,608000,2928,9,
3024,1804800,3025,0,3025,1804800,3025,0,3025,1804800,3025,0,3026,1804800,3026,0,3026,1651200,3026,0,3026,657215,3026,1651200,3027,0,2926,81,2926,0,3027,1651200,3027,0,3027,1766400,3028,0,3028,608000,3028,9,
3125,940800,3125,0,3125,940800,3126,0,3126,1152000,3126,0,3127,1152000,3127,0,3127,1516800,3127,0,3127,657215,3127,1516800,3128,0,3027,81,3027,0,3128,1516800,3128,0,3128,1516800,3129,0,3129,608000,3129,9,
3225,806400,3226,0,3226,806400,3227,0,3227,806400,3228,0,3228,806400,3228,0,3229,1516800,3229,0,3229,657215,3229,1516800,3229,0,3128,81,3128,0,3230,1516800,3230,0,3230,806400,3231,0,3231,608000,3231,9,
3325,1152000,3326,0,3326,806400,3327,0,3327,806400,3327,0,3327,806400,3328,0,3328,940800,3328,0,3329,657215,3329,940800,3329,0,3229,81,3230,0,3329,940800,3330,0,3330,1056000,3330,0,3330,608000,3331,9,
3426,940800,3427,0,3427,940800,3427,0,3428,940800,3429,0,3429,940800,3429,0,3430,1516800,3430,0,3430,657215,3430,2400000,3430,0,3329,81,3329,0,3430,2400000,3431,0,3431,1516800,3431,0,3431,608000,3431,9,
3526,806400,3527,0,3527,806400,3528,0,3528,806400,3529,0,3529,806400,3529,0,3529,691200,3529,0,3529,657215,3530,691200,3530,0,3430,81,3430,0,3530,940800,3530,0,3530,2515200,3531,0,3531,608000,3531,9,
3627,806400,3627,0,3627,806400,3628,0,3628,806400,3628,0,3628,806400,3629,0,3629,1516800,3629,0,3629,657215,3629,1516800,3629,0,3530,81,3530,0,3629,1516800,3630,0,3630,2515200,3630,0,3630,608000,3630,9,
3727,806400,3728,0,3728,806400,3728,0,3728,806400,3729,0,3729,806400,3729,0,3729,1516800,3729,0,3729,657215,3729,1516800,3730,0,3629,81,3629,0,3730,1516800,3730,0,3730,2515200,3730,0,3730,608000,3731,9,
3827,806400,3828,0,3828,806400,3828,0,3828,806400,3829,0,3829,806400,3829,0,3829,2400000,3829,0,3829,657215,3829,2400000,3830,0,3730,81,3730,0,3830,2400000,3830,0,3830,2515200,3830,0,3831,608000,3831,9,
3927,806400,3928,0,3928,806400,3928,0,3928,806400,3929,0,3929,806400,3929,0,3929,691200,3929,0,3929,657215,3929,691200,3930,0,3830,81,3830,0,3930,691200,3930,0,3930,2515200,3930,0,3930,608000,3931,9,
4028,806400,4028,0,4028,806400,4028,0,4029,806400,4029,0,4029,806400,4029,0,4029,691200,4029,0,4029,657215,4029,691200,4030,0,3930,81,3930,0,4030,691200,4030,0,4030,2515200,4030,0,4030,315000,4031,9,
4128,806400,4128,0,4129,806400,4129,0,4129,806400,4129,0,4129,806400,4129,0,4129,691200,4130,0,4130,214836,4130,691200,4130,0,4030,81,4030,0,4130,691200,4130,0,4131,2515200,4131,0,4131,315000,4131,9,
4229,806400,4229,0,4229,806400,4229,0,4229,806400,4229,0,4230,806400,4230,0,4230,691200,4230,0,4230,214836,4230,691200,4230,0,4130,81,4130,0,4231,691200,4231,0,4231,2515200,4231,0,4231,315000,4232,9,
4329,806400,4329,0,4329,806400,4330,0,4330,806400,4330,0,4330,806400,4330,0,4330,691200,4330,0,4331,214836,4331,691200,4331,0,4230,81,4231,0,4331,691200,4331,0,4331,2515200,4332,0,4332,315000,4332,9,
