"No.","Time","Source","Destination","Protocol","Length","Info","frame.time","frame.time_delta"
"1","0.000000","35.203.19.92","192.168.137.185","UDP","330","7548  >  45517 Len=288","Jul  6, 2023 08:40:19.089370000 Hora oficial do Brasil","0.000000000"
"2","0.017084","91.199.81.157","192.168.137.185","UDP","1191","5056  >  46977 Len=1149","Jul  6, 2023 08:40:19.106454000 Hora oficial do Brasil","0.017084000"
"3","0.069470","35.203.19.92","192.168.137.185","UDP","186","7548  >  45517 Len=144","Jul  6, 2023 08:40:19.158840000 Hora oficial do Brasil","0.052386000"
"4","0.101442","91.199.81.157","192.168.137.185","UDP","1109","5056  >  46977 Len=1067","Jul  6, 2023 08:40:19.190812000 Hora oficial do Brasil","0.031972000"
"5","0.101932","91.199.81.157","192.168.137.185","UDP","472","5056  >  46977 Len=430","Jul  6, 2023 08:40:19.191302000 Hora oficial do Brasil","0.000490000"
"6","0.102284","35.203.19.92","192.168.137.185","UDP","282","7548  >  45517 Len=240","Jul  6, 2023 08:40:19.191654000 Hora oficial do Brasil","0.000352000"
"7","0.102863","192.168.137.185","157.240.216.60","TCP","66","40824  >  443 [FIN, ACK] Seq=1 Ack=1 Win=161 Len=0 TSval=2088941624 TSecr=1266534096","Jul  6, 2023 08:40:19.192233000 Hora oficial do Brasil","0.000579000"
"8","0.111406","91.199.81.157","192.168.137.185","UDP","861","5056  >  46977 Len=819","Jul  6, 2023 08:40:19.200776000 Hora oficial do Brasil","0.008543000"
"9","0.126291","91.199.81.157","192.168.137.185","UDP","1022","5056  >  46977 Len=980","Jul  6, 2023 08:40:19.215661000 Hora oficial do Brasil","0.014885000"
"10","0.127120","35.203.19.92","192.168.137.185","UDP","170","7548  >  45517 Len=128","Jul  6, 2023 08:40:19.216490000 Hora oficial do Brasil","0.000829000"
"11","0.128193","192.168.137.185","91.199.81.157","UDP","114","46977  >  5056 Len=72","Jul  6, 2023 08:40:19.217563000 Hora oficial do Brasil","0.001073000"
