"No.","Time","Source","Destination","Protocol","Length","Info","frame.time","frame.time_delta"
"1","0.000000","34.254.9.124","192.168.10.105","TCP","54","443  >  57105 [ACK] Seq=1 Ack=1 Win=113 Len=0","Jul  5, 2023 20:41:05.141131000 Hora oficial do Brasil","0.000000000"
"2","0.014875","40.76.151.151","192.168.10.105","TLSv1.2","85","Encrypted Alert","Jul  5, 2023 20:41:05.156006000 Hora oficial do Brasil","0.014875000"
"3","0.014875","40.76.151.151","192.168.10.105","TCP","54","443  >  57104 [FIN, ACK] Seq=32 Ack=1 Win=63 Len=0","Jul  5, 2023 20:41:05.156006000 Hora oficial do Brasil","0.000000000"
"4","0.233578","192.168.10.105","40.76.151.151","TCP","54","57104  >  443 [ACK] Seq=1 Ack=33 Win=509 Len=0","Jul  5, 2023 20:41:05.374709000 Hora oficial do Brasil","0.218703000"
"5","0.452568","192.168.10.105","20.62.59.58","TLSv1.2","100","Application Data","Jul  5, 2023 20:41:05.593699000 Hora oficial do Brasil","0.218990000"
"6","0.718447","20.62.59.58","192.168.10.105","TCP","54","443  >  56959 [ACK] Seq=1 Ack=47 Win=501 Len=0","Jul  5, 2023 20:41:05.859578000 Hora oficial do Brasil","0.265879000"
"7","1.028678","20.120.122.254","192.168.10.105","TLSv1.2","85","Encrypted Alert","Jul  5, 2023 20:41:06.169809000 Hora oficial do Brasil","0.310231000"
"8","1.028678","20.120.122.254","192.168.10.105","TCP","54","443  >  57092 [FIN, ACK] Seq=32 Ack=1 Win=63 Len=0","Jul  5, 2023 20:41:06.169809000 Hora oficial do Brasil","0.000000000"
"9","1.238209","192.168.10.105","20.120.122.254","TCP","54","57092  >  443 [ACK] Seq=1 Ack=33 Win=510 Len=0","Jul  5, 2023 20:41:06.379340000 Hora oficial do Brasil","0.209531000"
"10","1.934236","52.108.8.254","192.168.10.105","TCP","54","443  >  57065 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","Jul  5, 2023 20:41:07.075367000 Hora oficial do Brasil","0.696027000"
