App,Package,Start Time,Duration,Filename
"Rec Room",com.AgainstGravity.RecRoom,"jul. 6, 2023 @ 09:27:55 AM","3 min 3 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU5 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU6 Load [%]",Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,806400,0,0,1,806400,2,0,2,806400,3,0,3,806400,3,0,3,2400000,3,0,3,219071,3,2400000,4,0,4,78,4,0,4,2400000,4,0,4,1516800,4,0,4,315000,5,19,
100,1804800,100,0,101,1804800,101,0,101,1804800,101,0,101,1804800,101,0,102,2400000,102,0,102,453544,103,2400000,103,0,72,78,72,0,103,2400000,103,0,104,2515200,104,0,105,608000,106,0,
207,1804800,210,0,213,1804800,217,0,218,1804800,222,0,229,1804800,231,0,234,2400000,238,0,239,0,239,2400000,240,0,103,78,103,0,241,2400000,242,0,243,2515200,249,0,250,608000,254,0,
257,1804800,259,0,265,1804800,266,0,289,1804800,290,0,297,1804800,300,0,318,2400000,329,0,330,0,330,2400000,339,0,240,78,241,0,372,2400000,373,0,385,2515200,388,0,400,608000,404,11,
405,1804800,406,0,406,1804800,409,0,410,1804800,412,0,413,1804800,414,0,414,2400000,416,0,416,803263,417,2400000,418,0,340,78,340,0,419,2400000,421,0,422,2515200,425,0,426,608000,426,11,
459,1804800,459,0,460,1804800,460,0,460,1804800,461,0,461,1804800,461,0,461,2400000,461,0,461,803263,462,2400000,462,0,418,78,419,0,463,2400000,464,0,467,2515200,469,0,469,608000,469,11,
561,1804800,561,0,562,1804800,562,0,562,1804800,563,0,563,1804800,563,0,563,2400000,565,0,565,803263,569,2400000,587,0,462,78,462,0,617,2400000,621,0,623,2515200,624,0,626,608000,629,11,
660,1804800,661,0,661,1804800,661,0,661,1804800,662,0,662,1804800,662,0,663,2400000,664,0,664,803263,664,2400000,665,0,598,78,599,0,665,2400000,665,0,666,2515200,667,0,668,608000,670,11,
762,1804800,763,0,763,1804800,763,0,763,1804800,764,0,764,1804800,764,0,765,2400000,765,0,765,803263,765,2400000,765,0,665,78,665,0,766,2400000,771,0,773,2515200,775,0,775,315000,775,11,
861,1804800,862,0,862,1804800,862,0,863,1804800,863,0,863,1804800,863,0,863,2400000,864,0,864,262578,864,2400000,864,0,765,78,765,0,865,2400000,866,0,867,2515200,869,0,870,315000,871,11,
962,1804800,963,0,963,1804800,964,0,964,1804800,964,0,964,1804800,964,0,964,2400000,965,0,965,262578,965,2400000,965,0,864,78,864,0,965,2400000,965,0,966,1766400,966,0,966,315000,966,11,
1063,1804800,1063,0,1064,1804800,1064,0,1064,1804800,1064,0,1064,1804800,1065,0,1065,2400000,1066,0,1067,262578,1067,2400000,1068,0,965,78,965,0,1068,2400000,1068,0,1069,2515200,1069,0,1069,315000,1070,11,
1164,1804800,1166,0,1167,1804800,1168,0,1175,1804800,1181,0,1182,1804800,1183,0,1184,2400000,1184,0,1184,262578,1184,2400000,1185,0,1068,78,1068,0,1185,2400000,1185,0,1186,2515200,1186,0,1187,315000,1187,11,
1264,1804800,1265,0,1265,1804800,1265,0,1266,1804800,1266,0,1266,1804800,1266,0,1266,2400000,1267,0,1267,262578,1267,2400000,1267,0,1185,78,1185,0,1267,2400000,1267,0,1268,2515200,1268,0,1268,315000,1268,11,
1367,1804800,1368,0,1369,1804800,1374,0,1375,1804800,1375,0,1376,1804800,1376,0,1376,2400000,1377,0,1377,262578,1377,2400000,1377,0,1267,78,1267,0,1377,2400000,1381,0,1381,2515200,1382,0,1382,608000,1382,11,
1467,1804800,1469,0,1470,1804800,1472,0,1473,1804800,1476,0,1477,1804800,1480,0,1484,2400000,1485,0,1486,803263,1487,2400000,1489,0,1377,78,1377,0,1493,2400000,1495,0,1498,2515200,1502,0,1502,608000,1503,11,
1566,1804800,1567,0,1567,1804800,1567,0,1568,1804800,1568,0,1568,1804800,1568,0,1569,2400000,1569,0,1569,803263,1569,2400000,1569,0,1489,78,1489,0,1570,2400000,1570,0,1571,2515200,1572,0,1573,608000,1575,7,
